group, subj_id, stage, trial, start, goal, path, length, RTs, keys, valid_keys, RT_tot, timestamp, datetime
A,198616,train,66,2,3,2 3,2,118403 1368,40 32,1,119771,1551387396.087,Thu Feb 28 2019 15:56:36 GMT-0500 (Eastern Standard Time)
A,198616,train,67,9,1,9 10 1,3,425 360 352 960,38 38 39 32,1 3,2097,1551387404.191,Thu Feb 28 2019 15:56:44 GMT-0500 (Eastern Standard Time)
A,198616,train,68,6,1,6 7 8 9 10 1,6,562 457 1263 888 720 584 336 1128,40 37 38 38 38 38 39 32,2 3 4 5 7,5938,1551387416.134,Thu Feb 28 2019 15:56:56 GMT-0500 (Eastern Standard Time)
A,198616,train,69,2,6,2 1 10 9 8 7 6,7,483 359 632 296 368 456 352 1376,37 37 40 40 40 40 39 32,1 2 3 4 5 7,4322,1551387426.461,Thu Feb 28 2019 15:57:06 GMT-0500 (Eastern Standard Time)
A,198616,train,70,10,7,10 9 8 7,4,481 520 368 872,40 40 40 32,1 2 3,2241,1551387434.709,Thu Feb 28 2019 15:57:14 GMT-0500 (Eastern Standard Time)
A,198616,train,71,4,7,4 5 6 7,4,1027 1423 432 1160,40 37 37 32,1 2 3,4042,1551387444.756,Thu Feb 28 2019 15:57:24 GMT-0500 (Eastern Standard Time)
A,198616,train,72,6,9,6 5 4 5 6 7 6 7 8 9,10,394 504 536 1336 360 344 384 523 424 535 393 767 1249,39 39 38 40 40 37 37 37 39 37 38 38 32,1 3 4 6 7 9 10 11 12,7749,1551387458.511,Thu Feb 28 2019 15:57:38 GMT-0500 (Eastern Standard Time)
A,198616,train,73,4,5,4 5,2,1626 1088,40 32,1,2714,1551387467.23,Thu Feb 28 2019 15:57:47 GMT-0500 (Eastern Standard Time)
A,198616,train,74,5,7,5 4 3 2 3 4 5 6 7,9,538 464 424 1016 768 208 207 776 632 1080,38 38 38 38 40 40 40 37 37 32,1 2 3 5 6 7 8 9,6113,1551387479.35,Thu Feb 28 2019 15:57:59 GMT-0500 (Eastern Standard Time)
A,198616,train,75,10,7,10 9 8 7,4,418 456 368 1096,40 40 40 32,1 2 3,2338,1551387487.693,Thu Feb 28 2019 15:58:07 GMT-0500 (Eastern Standard Time)
